application,brand_name,capacity,category,closure,color,company_name,condition,currency,delivery_time,design,fob_port,fabric_type,feature,gstin,gender,grade,main_domestic_market,main_export_market(s),material,minimum_order_quantity,minimum_ordered_packs,mop,moq,occasion,packaging_details,packsize,pattern,payment_terms,plastic_type,price,price_type,product_link,product_name,product_type,product_unit,returnable,sample_available,sample_policy,season,shape,size,stock_quantity,style,supply_ability,surface_materials,type,unit_type,usage,volume_(l),weight,work_type,is_stainless,product_name_clean,capacity_liters,row_num
Industrial,,50000 Ltr,Water Storage Tanks,,Green,JRMS ENGINEERING WORKS,NEW,,7 Days,,,,,,,A,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/industrial-water-storage-tank-c10285326.html,Industrial Water Storage Tank - Capacity: 50000 Ltr,Industrial Water Storage Tank,,,,,,,Standard,,,100 Per Month,,,,Industrial,,,,False,industrial water storage tank  capacity 50000 ltr,50000.0,11
,,,Water Storage Tanks,,,CAMPUS POLY PLAST PVT. LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/triple-layer-water-storage-tank-1943447.html,"Triple Layer Water Storage Tank - Anti-Corrosive Material, Strict Quality Control | Durable Performance and Long-Lasting Reliability",,,,,,,,,,,,,,,,,,,False,triple layer water storage tank  anticorrosive material strict quality control  durable performance and longlasting reliability,,12
,,,Water Storage Tanks,,,KAVERI PLASTO CONTAINER PVT. LTD.,,,7 Days,,,,,,,Multigrade,South India,,Plastic,,,,,,,,,Cash in Advance (CID),PVC,,,https://www.tradeindia.com/products/domestic-water-storage-tank-c9555658.html,Domestic Water Storage Tank - Grade: Multigrade,,,,,,,Cylindrical,,,,1000 Per Month,,,,,500 to 5000 Liter (L),,,False,domestic water storage tank  grade multigrade,,13
,SRI KAMATCHI TRADERS,,Water Storage Tanks,,Blue,SRI KAMATCHI TRADERS,,INR,7 Days,,,,,0%,,Industrial,,,Metal,1,1,1,1,,,1,,,,150000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/underground-water-storage-tanks-sumps-c10397337.html,Underground Water Storage Tanks Sumps - Color: Blue,,1 Piece/Pieces,False,,,,Square,Standard,5,,10 Per Week,,,Piece/Pieces,,,,,False,underground water storage tanks sumps  color blue,,14
,,,Water Storage Tanks,,White,CHOUDHARY TANK AGENCY,,,10 Days,,,,,,,,All India,,Metal,,,,,,,,,Cash in Advance (CID),HDPE,,,https://www.tradeindia.com/products/5000-ltr-hdpe-water-storage-tank-c10196223.html,5000 Ltr Hdpe Water Storage Tank - Color: White,,,,,,,Other Vertical- Round,407mm,,,5000 Per Month,Powder Coating,,,,,,,False,5000 ltr hdpe water storage tank  color white,,15
,,,Water Storage Tanks,,,T M COMPONENTS,,,2 Days,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/4-layer-blow-moulded-water-storage-tank-c6128030.html,4 Layer Blow Moulded Water Storage Tank,,,,,,,,,,,50 Per Week,,,,,,,,False,4 layer blow moulded water storage tank,,16
,,,Water Storage Tanks,,Silver,SHRAJ MACHINERY,NEW,INR,7 Days,,,,,0%,,Industrial,,,,1,1,1,1,,,1,,,,280000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c10600410.html,Stainless Steel Water Storage Tank - Color: Silver,Stainless Steel Water Storage Tank,1 Unit/Units,False,,,,,Standard,10,,100 Per Month,,,Unit/Units,Industrial,,,,True,stainless steel water storage tank  color silver,,17
,PRIMA,,Water Storage Tanks,,White,PRIMA PLASTICS LTD.,,INR,10 Days,,NA,,,0%,,NA,Madhya Pradesh Maharashtra Punjab Gujarat Uttar Pradesh West India Rajasthan,Asia North America,Plastic,2,2,2,2,,,1,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,LLDPE,6500.00 INR (Approx.),fixed,https://www.tradeindia.com/products/water-storage-tank-c9624935.html,Water Storage Tank 1000 Ltrs,,2 Number,False,True,Contact us for information regarding our sample policy,,Cylindrical,1100mm Dia x 1310mm H x 400mm Manhole,20,,50 Per Week,Virgin Plastic,,Number,,1000 Liter (L),,,False,water storage tank 1000 ltrs,,18
Residential buildings commercial complexes hospitals schools industries,LGS Projects Pvt Ltd,10000 Approx Ltr,Water Storage Tanks,,Silver,LGS PROJECTS PRIVATE LIMITED,,INR,30-45 Days,,Greater Noida,,,0%,,,All India,,Steel,1,1,1,1,,,1,,,,10000000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/drinking-water-storage-tank-c10442058.html,Drinking Water Storage Tank - Application: Residential Buildings,Water Storage Tank,1 Liter/Liters,False,False,Contact us for information regarding our sample policy,,Cylindrical,,5,,5 Per Year,,,Liter/Liters,Storage of potable/drinking water,,3000.00 Kilograms (KG),,False,drinking water storage tank  application residential buildings,10000.0,19
,,,Water Storage Tanks,,White,SHRAVANI INDUSTRIES,,,7 Days,,,,,,,,All India,,Plastic,,,,,,,,,Cash in Advance (CID),,,,https://www.tradeindia.com/products/white-plastic-water-storage-tank-c10604468.html,Loft Water Storage Tank - Color: White,,,,,,,Other Rectangular,,,,100 Per Month,Plastic,,,,500 1000 etc Liter (L),,,False,loft water storage tank  color white,,20
,,,Water Storage Tanks,,As Per Requirement,VIGNESH INDUSTRIES PRIVATE LIMITED,NEW,,10 Days,,,,,,,,All India,,,,,,,,,,,Cash in Advance (CID),,,,https://www.tradeindia.com/products/sintex-underground-water-storage-tank-c10223924.html,"Sintex Underground Water Storage Tank - Durable Material, Various Sizes Available, Customizable Color Options | Ideal for Industrial Use, Easy to Install",,,,,,,,Different available,,,100 Per Month,,,,Industrial,,,,False,sintex underground water storage tank  durable material various sizes available customizable color options  ideal for industrial use easy to install,,21
,,As per the client required Ton/day,Water Storage Tanks,,Stainless Steel finished,SHREE BHAGWATI MACHTECH (I) PVT. LTD.,,,4 - 6 Week,,India,,Simple Control Stable Operation High Performance ECO Friendly Low Noise Lower Energy Consumption High Efficiency,,,,All India,Asia Australia Central America North America South America Eastern Europe Western Europe Middle East Africa,Stainless Steel Alloy,,,,,,Wooden packing only,,,,,,,https://www.tradeindia.com/products/15kw-stainless-steel-water-storage-tank-for-liquid-water-production-line-c5317102.html,15Kw Stainless Steel Water Storage Tank For Liquid Water Production Line Capacity: As Per The Client Required Ton/Day,Stainless Steel Water Storage Tank,,,True,Contact us for information regarding our sample policy,,,,,,,,Other,,,,,,True,15kw stainless steel water storage tank for liquid water production line capacity as per the client required tonday,,22
,,,Water Storage Tanks,,Yellow Black & White,OSWAL HITECH PVT. LTD.,,,4-5 Days,,,,,,,Food & UV,Karnataka,,Plastic,,,,,,,,,,LLDPE,,,https://www.tradeindia.com/products/3000-ltr-plastic-water-storage-tanks-c6913101.html,"Plastic Water Storage Tanks By Hitank - LLDPE, 3000 & 5000 Litres | Food & UV Grade, Cylindrical Shape, BPA-Free Polyethylene",,,,True,Sample costs shipping and taxes has to be paid by the buyer,,Cylindrical,3000 & 5000 Litres,,,100 Per Week,Plastic,,,,3000 & 5000 Liter (L),,,False,plastic water storage tanks by hitank  lldpe 3000  5000 litres  food  uv grade cylindrical shape bpafree polyethylene,,23
,,,Water Storage Tanks,,,VARUNA,,,10 Days,,,,,,,,All India,,,,,,,,,,,Cash in Advance (CID),,,,https://www.tradeindia.com/products/concrete-water-storage-tank-c10151998.html,Concrete Water Storage Tank,,,,,,,,,,,5000 Per Month,,,,,,,,False,concrete water storage tank,,24
,,,Water Storage Tanks,,,TMT POLYMERS INDIA PVT LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/water-tanks-3977727.html,Leak Free TMT Water Tanks,,,,,,,,,,,,,,,,,,,False,leak free tmt water tanks,,25
,,,Water Storage Tanks,,,SHAMA GLOBAL,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/boiler-coil-8845119.html,"Boiler Coil, Boiler Type: Water Tube",,,,,,,,,,,,,,,,,,,False,boiler coil boiler type water tube,,26
Industrial,,,Water Storage Tanks,,Silver,N M AQUATECH,NEW,,,,,,,,,,East India,,,,,,,,,,,Cash Advance (CA),,,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-8165900.html,Plastic Stainless Steel Water Storage Tank,Water Storage Tank,,,,,,,,,,10 Per Day,,,,,,,,True,plastic stainless steel water storage tank,,27
Water Storage,,,Water Storage Tanks,,Red,REY ENTERPRISE,NEW,,7 Days,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/amrutam-underground-water-storage-tanks-c10468830.html,Amrutam Underground Water Storage Tanks - Color: Red,Amrutam Underground Water Storage Tanks,,,,,,,Customized,,,50 Per Week,,,,Industrial,,,,False,amrutam underground water storage tanks  color red,,28
,,250-500 Liter Ton/day,Water Storage Tanks,,White,INDIA FLEX ENGINEERING,New,,1 Week,,,,,,,,All India,,Stainless Steel,,,,,,,,,Cash in Advance (CID) Cheque Cash Advance (CA),,,,https://www.tradeindia.com/products/pressure-tank-c2564735.html,Pressure Tank - Capacity: 250-500 Liter Ton/Day,Pressure Tank,,,,,,,,,,10 Per Week,,,,As Tank,,,,True,pressure tank  capacity 250500 liter tonday,250.0,29
,,,Water Storage Tanks,,White and Blue,DUTRON PLASTICS PRIVATE LIMITED,,,1 Days,,,,,,,Industrial,All India,Asia,Plastic,,,,,,As per client Specification.,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash in Advance (CID) Cash Advance (CA),,,,https://www.tradeindia.com/products/plastic-round-shape-polished-blue-and-white-plain-water-storage-tank-7380393.html,"Plastic Water Storage Tank - ISI Certified, 500-1000 Liter Capacity | Round Shape, Polished Finish, Industrial Grade, Blue and White Color",,,,True,Contact us for information regarding our sample policy,,Cylindrical,Multisize,,,,,,,,500-1000 Liter (L),,,False,plastic water storage tank  isi certified 5001000 liter capacity  round shape polished finish industrial grade blue and white color,,30
,,,Water Storage Tanks,,,RONAK INDUSTRIES,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-storage-tank-c3393959.html,"FRP Storage Tank - High-Durability Fiberglass Reinforced Polymer | Corrosion-Resistant, UV-Stabilized, Versatile Liquid Storage Solution",,,,,,,,,,,10 Per Week,,,,,,,,False,frp storage tank  highdurability fiberglass reinforced polymer  corrosionresistant uvstabilized versatile liquid storage solution,,31
Water Storage,,500 to 10000 Lits,Water Storage Tanks,,,RADIONICS,,,,,,,,,,,All India,,,,,,,,,,,,,,,https://www.tradeindia.com/products/reno-water-tank-c5736170.html,Sintex Reno Water Storage Tank - 500 to 10000 Liters Capacity | Durable Water Storage Solution,,,,True,,,,,,,,,,,,,,,False,sintex reno water storage tank  500 to 10000 liters capacity  durable water storage solution,500.0,32
,ITI,,Water Storage Tanks,,,ENGINEERS INDIA RESEARCH INSTITUTE,,INR,2-3 Days,,,,,0%,,,All India,,,1,1,1,1,,,1,,,,35000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/project-report-on-plastic-water-storage-tanks-eiri-1487-c1927132.html,Project Report On Plastic Water Storage Tanks [Eiri-1487],,1 Piece/Pieces,False,,,,,,10,,1 Per Day,,,Piece/Pieces,,,,,False,project report on plastic water storage tanks eiri1487,,33
,,,Water Storage Tanks,,Silver,GOKUL WATER TECHNOLOGIES,,,7-10 Days,,,,,,,,All India,,Metal,,,,,,,,,Cash in Advance (CID),,,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c10635986.html,Stainless Steel Water Storage Tank - Color: Silver,,,,,,,Cylindrical,Different Size,,,30 Per Month,Polished,,,,,,,True,stainless steel water storage tank  color silver,,34
,,,Water Storage Tanks,,,SHREE UMIYA ROTOPLAST CONTAINER,,,1 Week,,,,,,,,All India,,Plastic,,,,,,,,,,LLDPE,,,https://www.tradeindia.com/products/shivaay-gold-water-storage-tank-c3410880.html,"Shivaay Gold Water Storage Tank - LLDPE Material, 3 Layer Design | Flexible, Durable, Anti-Bacterial, Leak Proof, UV Protected, Weather Proof",,,,,,,,,,,400000 Per Day,,,,,,,,False,shivaay gold water storage tank  lldpe material 3 layer design  flexible durable antibacterial leak proof uv protected weather proof,,35
Industrial,MKV TECH SOLUTIONS,75000 Ltr,Water Storage Tanks,,White,MKV TECH SOLUTIONS,NEW,INR,10 Days,,,,,0%,,First Class,All India,,,1,1,1,1,,,1,,,,545000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/75000-liter-zinc-aluminium-water-storage-tank-c8460831.html,75000 Liter Zinc Aluminium Water Storage Tank - Application: Industrial,75000 Liter Zinc Aluminium Water Storage Tank,1 Liter/Liters,False,,,,,Different Sizes Available,10,,100 Per Month,,,Liter/Liters,Storage,,,,False,75000 liter zinc aluminium water storage tank  application industrial,75000.0,36
,,,Water Storage Tanks,,Silver,UNIVERSAL ENERGY SOLUTIONS,NEW,,2-10 Days,,,,,,,,All India,,,,,,,,,,,Cash in Advance (CID),,,,https://www.tradeindia.com/products/hot-water-storage-tank-c10673166.html,Hot Water Storage Tank - Color: Silver,,,,,,,,Standard,,,50 Per Month,,,,Industrial,,50-200 Kilograms (kg),,False,hot water storage tank  color silver,,37
Industrial,RISHIT ENGINEERING,,Water Storage Tanks,,Blue,RISHIT ENGINEERING,,INR,1 Week,,,,,0%,,,All India,,Plastic,1,1,1,1,,Standard.,1,,Cash in Advance (CID),,48000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/pph-barrel-7079652.html,Pph Barrel Tank,Php Barrel Tank,1 Unit/Units,False,,Contact us for information regarding our sample policy,,Rectangular,,5,,10 Per Week,,,Unit/Units,Industrial,,,,False,pph barrel tank,,38
,HI FILL ENGINEERS,,Water Storage Tanks,,,HI FILL ENGINEERS & FABRICATORS,,INR,,,,,,0%,,,,,,1,1,1,1,,,1,,,,120000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/ss-water-storage-tanks-c1418348.html,SS Water Storage Tanks,,1 Piece/Pieces,False,,,,,,10,,,,,Piece/Pieces,,,,,False,ss water storage tanks,,39
,,,Water Storage Tanks,,White,AJMERA AND COMPANY,NEW,,7 Days,,,,,,,,All India,,,,,,,,,,,Cash Advance (CA),,,,https://www.tradeindia.com/products/triple-layer-white-tank-c7315654.html,Triple Layer White Water Storage Tank Height: 37.7-124.4 Inch (In),Water Tank,,,,,,,35.8-83.6 Inch,,,,,,,,,,,False,triple layer white water storage tank height 3771244 inch in,,40
,RAJARAM POLYMERS,,Water Storage Tanks,,Different Available,RAJARAM POLYMERS,,INR,10 Days,,,,,0%,,First Class,All India,,Plastic,10,10,10,10,,,,,Cash on Delivery (COD),ABS,6000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/500-litres-to-1000-litres-plastic-water-storage-tanks-c8773548.html,500 Litres To 1000 Litres Plastic Water Storage Tanks - Color: Different Available,,10 Piece/Pieces,False,,,,Funnel-Shaped,Customized,50,,1000 Per Month,Coated,,Piece/Pieces,,,,,False,500 litres to 1000 litres plastic water storage tanks  color different available,,41
,Shivam Enterprises,,Water Storage Tanks,,,SHIVAM ENTERPRISES,,INR,,,,,,18%,,,,,,1,1,1,1,,,500,,,,3.18 INR (Approx.),fixed,https://www.tradeindia.com/products/water-storage-tank-7342958.html,"Water Storage Tank - BPA-Free, Antibacterial Material | UV and Heat Resistant, Keeps Water Cool for Extended Periods",,1 Liter/Liters,False,,,,,,92,,,,,Liter/Liters,,,10.00 Kilogram,,False,water storage tank  bpafree antibacterial material  uv and heat resistant keeps water cool for extended periods,,42
,,,Water Storage Tanks,,,FALBIN ENGINEERING PVT. LTD.,,,1 Months,,,,,,,,All India,Africa,,,,,,,,,,Others Cash in Advance (CID) Cheque,,,,https://www.tradeindia.com/products/ss-water-tank-c2497409.html,"SS Water Tank - Stainless Steel, 1000 Gallon Capacity | Durable, Corrosion-Resistant, UV-Protection Design",,,,,,,,,,,,,,,,,,,True,ss water tank  stainless steel 1000 gallon capacity  durable corrosionresistant uvprotection design,,43
,,,Water Storage Tanks,,Cream,SPIRAL SPECIALIST,,,10 Days,,,,,,,,All India,,FRP,,,,,,,,,Cash Advance (CA),,,,https://www.tradeindia.com/products/frp-underground-water-storage-tanks-c8885104.html,"FRP Underground Water Storage Tanks - FRP Material, Cream Color, Powder Coated, Industrial Usage",FRP Underground Water Storage Tanks,,,,,,,,,,10000 Per Month,,,,Industrial,,,,False,frp underground water storage tanks  frp material cream color powder coated industrial usage,,44
,N.K SALES INDIA,,Water Storage Tanks,,,N.K.SALES INDIA,,INR,,,Delhi,,,0%,,,All India,Western Europe North America Eastern Europe Middle East Africa South America Australia Asia Central America,Steel,1,1,1,1,,,1,,Cash on Delivery (COD) Cash Against Delivery (CAD) Cash in Advance (CID) Cheque Cash Advance (CA),,14000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/transit-mixer-water-storage-tank-c6055396.html,Transit Mixer Water Storage Tank Industrial,Transit Mixer Water Storage Tank,15 Piece/Pieces,False,True,Sample costs shipping and taxes has to be paid by the buyer,,,,25,,,,,Piece/Pieces,,,,,False,transit mixer water storage tank industrial,,45
,Auto Surf,,Water Storage Tanks,,White,SHIV SHAKTI ROTO PLAST,,INR,-1 Days,,hazirabhavnagar,,,0%,,Commercial,All India,,Plastic,1,1,1,1,,As per requirement,1,,Cash Against Delivery (CAD),PVC,17250.00 INR (Approx.),fixed,https://www.tradeindia.com/products/1500-litres-plastic-water-storage-tank-c7923189.html,1500 Litres Plastic Water Storage Tank - Color: White,,15 Number,False,,,,Cylindrical,Different Available,20,,100 Per Day,,,Number,,1500 Liter (L),,,False,1500 litres plastic water storage tank  color white,,46
water heating systems,STEEL CRAFT FABRICATIONS,,Water Storage Tanks,,Sliver,STEEL CRAFT FABRICATIONS,,INR,2 Week,,Noida,,,0%,,,All India,Central America Western Europe South America Eastern Europe North America Australia Middle East Asia Africa,stainlesssteel,1,1,1,1,,WOODEN PACKING,1,,,,10000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/solar-water-storage-tanks-c6694272.html,Solar Water Storage Tanks - Color: Sliver,Solar Water Storage Tanks,1 Piece/Pieces,False,,Contact us for information regarding our sample policy,,round,,5,,100 Per Week,,,Piece/Pieces,Industrial,,,,True,solar water storage tanks  color sliver,,47
,,,Water Storage Tanks,,,KEDIA POLYMER,,,48 Hours,,,,,,,,West Bengal,,,,,,,,,,,,,,,https://www.tradeindia.com/products/sintex-underground-water-storage-tank-c6568213.html,Sintex Water Storage Tank,,,,,,,,,,,10000 Per Day,,,,,,,,False,sintex water storage tank,,48
,ARIMA CHEMICALS & SYSTEMS,,Water Storage Tanks,,Silver,ARIMA CHEMICALS & SYSTEMS,,INR,2-10 Days,,,,,0%,,Industrial grade,All India,,Metal,7,7,7,7,,,,,Cash in Advance (CID),,9000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c9921300.html,"Stainless Steel Water Storage Tank - 1000 Liters, Industrial Grade Durability, Vertical Cylindrical Design",,7 Piece/Pieces,False,,,,Cylindrical,,35,,1000 Per Month,,,Piece/Pieces,,1000 Liter (L),,,True,stainless steel water storage tank  1000 liters industrial grade durability vertical cylindrical design,,49
,,,Water Storage Tanks,,Silver,DAZZLE AQUA,,,5-7 Days,,,,,,,,,,Other Mild Steel,,,,,,,,,,,,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c10237833.html,Stainless Steel Water Storage Tank - Color: Silver,,,,,,,Cylindrical,Standard,,,10000 Per Month,,,,,1500 Liter (L),,,True,stainless steel water storage tank  color silver,,50
,STEAM & POWER ENGINEERS,,Water Storage Tanks,,,STEAM & POWER ENGINEERS,New,INR,2 Days,,,,,0%,,,All India,Australia North America Eastern Europe Middle East Central America South America Asia Western Europe Africa,Mild Steel,1,1,1,1,,,1,,,,250000.00 INR (Approx.),fixed,https://www.tradeindia.com/products/deaerators-cum-feed-water-storage-tanks-c2242800.html,Mild Steel Deaerators Cum Feed Water Storage Tanks,Deaerators Cum Feed Water Storage Tanks,1 Unit/Units,False,,,,,,5,,5-10 Per Week,,,Unit/Units,Industrial,,,,False,mild steel deaerators cum feed water storage tanks,,51
,,,Water Storage Tanks,,Grey,INDUSMATRIX INDIA PRIVATE LIMITED,,,,,,,,,,,,,MS,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-underground-water-storage-tanks-c10387289.html,"FRP Underground Water Storage Tanks - MS Material, Standard Size, Grey Color | 220-240V Voltage Rating for Industrial Applications",FRP Underground Water Storage Tanks,,,,,,,Standard,,,,,,,Industrial,,,,False,frp underground water storage tanks  ms material standard size grey color  220240v voltage rating for industrial applications,,52
,,,Water Storage Tanks,,Red,MARUTI TECHNOLOGY,NEW,,10 Days,,,,,,,First Class,All India,,,,,,,,,,,,,,,https://www.tradeindia.com/products/ms-storage-tank-c9344546.html,Ms Storage Tank - Color: Red,MS Storage Tank,,,,,,,Various Sizes Available,,,50 Per Month,,,,Industrial,,,,False,ms storage tank  color red,,53
Other,,,Water Storage Tanks,,Silver,KAD CORPORATION,,,7 Days,,,,,,,,,,Stainless Steel,,,,,,,,,,,,,https://www.tradeindia.com/products/heat-pump-20-kw-with-hot-water-storage-tank-3000-ltr-c10820145.html,Heat Pump 20 Kw With Hot Water Storage Tank 3000 Ltr - Color: Silver,Heat Pump 20 KW With Hot Water Storage Tank 3000 LTR,,,,,,,Standard,,,1 Per Week,,,,Industrial,,,,True,heat pump 20 kw with hot water storage tank 3000 ltr  color silver,,54
